ranking,economy,population_thousands
1,India,1417173
2,China,1412175
3,United States,333288
4,Indonesia,275501
5,Pakistan,235825
6,Nigeria,218541
7,Brazil,215313
8,Bangladesh,171186
9,Russian Federation,143556
10,Mexico,127504
11,Japan,125125
12,Ethiopia,123380
13,Philippines,115559
14,"Egypt, Arab Rep.",110990
15,"Congo, Dem. Rep.",99010
16,Vietnam,98187
17,"Iran, Islamic Rep.",88551
18,Türkiye,85341
19,Germany,84080
20,Thailand,71697
21,France,67936
22,United Kingdom,66971
23,Tanzania,65498
24,South Africa,59894
25,Italy,58857
26,Myanmar,54179
27,Kenya,54027
28,Colombia,51874
29,"Korea, Rep.",51628
30,Spain,47615
31,Uganda,47250
32,Sudan,46874
33,Argentina,46235
34,Algeria,44903
35,Iraq,44496
36,Afghanistan,41129
37,Canada,38930
38,Ukraine,38000
39,Poland,37562
40,Morocco,37458
41,Saudi Arabia,36409
42,Uzbekistan,35648
43,Angola,35589
44,Peru,34050
45,Malaysia,33938
46,"Yemen, Rep.",33697
47,Ghana,33476
48,Mozambique,32970
49,Nepal,30548
50,Madagascar,29612
51,"Venezuela, RB",28302
52,Côte d'Ivoire,28161
53,Cameroon,27915
54,Niger,26208
55,"Korea, Dem. People's Rep.",26069
56,Australia,25979
57,Burkina Faso,22674
58,Mali,22594
59,Sri Lanka,22181
60,Syrian Arab Republic,22125
61,Malawi,20405
62,Zambia,20018
63,Kazakhstan,19622
64,Chile,19604
65,Romania,18957
66,Ecuador,18001
67,Chad,17723
68,Netherlands,17703
69,Somalia,17598
70,Guatemala,17358
71,Senegal,17316
72,Cambodia,16768
73,Zimbabwe,16321
74,Guinea,13859
75,Rwanda,13777
76,Benin,13353
77,Burundi,12890
78,Tunisia,12356
79,Bolivia,12224
80,Belgium,11669
81,Haiti,11585
82,Jordan,11286
83,Dominican Republic,11229
84,Cuba,11212
85,South Sudan,10913
86,Greece,10567
87,Czech Republic,10526
88,Sweden,10487
89,Honduras,10433
90,Portugal,10379
91,Azerbaijan,10175
92,Papua New Guinea,10143
93,Tajikistan,9953
94,Hungary,9684
95,Israel,9551
96,United Arab Emirates,9441
97,Belarus,9209
98,Austria,9043
99,Togo,8849
100,Switzerland,8770
101,Sierra Leone,8606
102,Lao PDR,7529
103,"Hong Kong SAR, China",7346
104,Nicaragua,6948
105,Libya,6812
106,Kyrgyz Republic,6803
107,Paraguay,6781
108,Serbia,6760
109,Bulgaria,6465
110,Turkmenistan,6431
111,El Salvador,6336
112,"Congo, Rep.",5970
113,Denmark,5903
114,Singapore,5637
115,Central African Republic,5579
116,Finland,5557
117,Lebanon,5490
118,Norway,5457
119,Slovak Republic,5432
120,Liberia,5303
121,Costa Rica,5181
122,New Zealand,5124
123,Ireland,5087
124,West Bank and Gaza,5044
125,Mauritania,4736
126,Oman,4576
127,Panama,4409
128,Kuwait,4269
129,Croatia,3854
130,Georgia,3713
131,Eritrea,3684
132,Uruguay,3423
133,Mongolia,3398
134,Bosnia and Herzegovina,3234
135,Puerto Rico,3222
136,Lithuania,2833
137,Jamaica,2827
138,Armenia,2780
139,Albania,2776
140,"Gambia, The",2706
141,Qatar,2695
142,Botswana,2630
143,Moldova,2592
144,Namibia,2567
145,Gabon,2389
146,Lesotho,2306
147,Slovenia,2109
148,Guinea-Bissau,2106
149,North Macedonia,2058
150,Latvia,1883
151,Kosovo,1762
152,Equatorial Guinea,1675
153,Trinidad and Tobago,1531
154,Bahrain,1472
155,Estonia,1345
156,Timor-Leste,1341
157,Mauritius,1263
158,Cyprus,1251
159,Eswatini,1202
160,Djibouti,1121
161,Fiji,930
162,Comoros,837
163,Guyana,809
164,Bhutan,782
165,Solomon Islands,724
166,"Macao SAR, China",695
167,Luxembourg,651
168,Suriname,618
169,Montenegro,616
170,Cabo Verde,593
171,Maldives,524
172,Malta,523
173,Brunei Darussalam,449
174,"Bahamas, The",410
175,Belize,405
176,Iceland,382
177,Vanuatu,327
178,French Polynesia,306
179,Barbados,282
180,New Caledonia,277
181,São Tomé and Principe,227
182,Samoa,222
183,St. Lucia,180
184,Channel Islands,174
185,Guam,172
186,Curaçao,150
187,Kiribati,131
188,Grenada,125
189,"Micronesia, Fed. Sts.",114
190,Tonga,107
191,Aruba,106
192,Virgin Islands (U.S.),105
193,St. Vincent and the Grenadines,104
194,Seychelles,100
195,Antigua and Barbuda,94
196,Isle of Man,85
197,Andorra,80
198,Dominica,73
199,Cayman Islands,69
200,Bermuda,64
201,Greenland,57
202,Faroe Islands,53
203,Northern Mariana Islands,50
204,St. Kitts and Nevis,48
205,Turks and Caicos Islands,46
206,American Samoa,44
207,Sint Maarten (Dutch part),43
208,Marshall Islands,42
209,Liechtenstein,39
210,Monaco,36
211,San Marino,34
212,Gibraltar,33
213,St. Martin (French part),32
214,British Virgin Islands,31
215,Palau,18
216,Nauru,13
217,Tuvalu,11
